질환명,증상,관련질환,진료과목,코드
미로염,"어지러움, 난청","만성 중이염, 전정신경염, 홍역",이비인후과,32430
미만성 간질성 폐질환,"체중감소, 호흡곤란, 운동 시 호흡곤란, 열, 곤봉지, 가래, 기침","특발성 폐섬유화증, 전신 경화증, 진폐증, 류마티스 관절염",호흡기내과,31848
미세변화 신증후군,"두통, 단백뇨, 피로감, 전신 부종",신증후군,"신장내과, 소아신장과",32218
미세혈관병용혈빈혈,"빈혈, 혈뇨, 자반증, 단백뇨, 열, 두통","요독증, 용혈빈혈, 면역혈소판감소증, 약물 유발성 자가면역성 용혈성 빈혈, 파종혈관내응고, 용혈성 요독 증후군, 자가면역용혈질환",혈액내과,31792
바렛 식도,"체중감소, 혈변, 목의 이물감, 식욕부진, 가슴 쓰림, 삼키기 곤란, 가슴 통증, 작열감, 토혈",위식도 역류성 질환,소화기내과,31681
바르덴부르크 증후군,"청력장애, 눈 사이가 멀어보임, 모발 탈색, 다른 선천성 기형","ARC 증후군, 베크위트-위드만 증후군, 코넬리아드랑게 증후군, 루빈스타인 테이비 증후군, 판코니범혈구감소증, 트리처 콜린스 증후군","의학유전학센터, 의학유전학과",32422
바르톨린샘의 고름집,"환부 통증, 반점, 환부 부종","급성 질염, 요로 감염, 칸디다성 외음질염, 노인성 질염",산부인과,31927
바이러스성 뇌수막염,"성격의변화, 두통, 혼수, 열, 경부 강직, 뇌전증 발작, 경련","수족구병, 박테리아성 뇌수막염, 출혈성 결막염","감염내과, 신경과, 소아신경과, 소아감염과",31721
바이러스성 장염,"구토, 설사, 탈수, 콧물, 기침, 열","식중독, 대장염, 급성 위장염, 노로바이러스 장염","가정의학과, 소화기내과, 노년내과, 신생아과, 소아신장과, 소아소화기영양과, 소아중환자과, 소아감염과",31684
바터 팽대부 암,"피로감, 흑색변, 진한 소변색, 피부소양감, 회색변, 체중감소, 복부 통증, 황달, 식욕부진",췌장암,"소화기내과, 종양내과, 방사선종양학과, 간담도췌외과, 간이식ㆍ간담도외과",30479
박테리아성 뇌수막염,"두통, 감기 증상, 경련, 경부 강직, 열, 오심, 혼수, 구토","대장균 감염, 바이러스성 뇌수막염, 폐렴, 인플루엔자, 리스테리아","감염내과, 신경과",31723
반달연골 이상,"관절 운동성 감소, 무릎 부위 통증, 무릎 부위 부종","슬관절 장애, 반월판 연골손상, 원판형 반월상연골, 관절염",정형외과,31717
반사회성 인격장애,"약물남용, 직무 태만, 나쁜 품행, 야만적 행위",편집성 인격장애,정신건강의학과,31894
반월판 연골손상,"관절통, 관절 불안정증, 무릎 부위 부종, 관절잡음, 관절의 경직, 무릎 부위 통증","슬개건염, 슬관절 장애",정형외과,31568
반응성 애착장애,"사회성 부족, 낮은 지능, 저체중, 산만함, 불안",지적장애,"정신건강의학과, 소아정신건강의학과",31917
반코마이신 내성 장알균 감염증,"오한, 저혈압, 열","폐렴간균에 의한 폐렴, 흡인성 폐렴, 폐렴, 바이러스성 뇌수막염, 박테리아성 뇌수막염, 요로 감염, 병원 감염성 폐렴, 패혈증, 지역사회성 폐렴, 심내막염",감염내과,33900
반코마이신 내성 황색포도알균 감염증,"열, 오한, 저혈압",포도상구균 감염,감염내과,33890
반티 증후군,"위장관 출혈, 혈소판감소, 빈혈, 복부 통증","식도 정맥류, 위 정맥류",소화기내과,31696
반흔 탈장,"탈장 돌출, 탈장, 탈장 부위의 통증, 복부팽만감","제대 탈장, 반흔 탈장","소아외과, 위장관외과",31657
발달 장애,"사회성 부족, 학습장애","지적장애, 자폐증 / 자폐 스펙트럼 장애, 뇌성 마비","의학유전학센터, 소아신경과, 의학유전학과, 소아재활의학과",32651
발모벽,"행동장애, 긴장","탈모증, 행동 및 충동 장애","정신건강의학과, 피부과, 소아정신건강의학과",31882
발살바동 동맥류 파열,"심인성 쇼크, 가슴 통증, 호흡곤란, 가슴 두근거림, 폐부종, 피로감","죽상경화증, 마르판 증후군, 전신 홍반성 낭창, 심내막염, 류마티스 관절염, 매독",심장혈관흉부외과,31652
발육부전성 좌심 증후군,"쇼크, 보챔, 청색증, 구토, 소변량 감소, 수유 곤란, 축 늘어짐, 호흡곤란, 창백, 심부전","대동맥판막 협착, 승모판 협착, 선천성 심장 질환, 심장 판막 질환","소아청소년심장과, 소아심장외과, 선천성심장병센터",31650
발육성 치성 낭종,"신생아-백색의 결절, 입 주변 부종",치근낭,치과,31558
발작,"실신, 격동적 움직임","수두증, 뇌전증, 광견병, 원발성 중추신경계 림프종, 화상, 익수, 대사성 알칼리증, 고나트륨혈증, 핵황달, 라이 증후군, 신생아 경련, 양수색전증, 자간증, 뇌성 마비, 스파르가눔증, 급성 신부전, 요붕증, 신부전, 박테리아성 뇌수막염, 바이러스성 뇌수막염, 팔로 사 징후, 생식선 및 생식 세포의 신생물, 신생아 다혈구증",신경과,31851
발작성야간혈색뇨,"멍, 황달, 비장비대, 창백, 피로감, 출혈 경향성, 정맥혈전, 빈혈, 간비대","재생불량빈혈, 골수형성이상증후군, 호흡성 산증, 혈소판 이상, 용혈빈혈",혈액내과,31793
발진열,"권태감, 근육통, 기침, 오한, 두통, 열","파라티푸스, 털진드기병, 장티푸스",감염내과,33894
발진티푸스,"근육통, 오한, 두통, 권태감, 열","파라티푸스, 장티푸스",감염내과,33895
방광소장 누공,"분뇨, 혈뇨, 배변습관의 변화","게실 질환, 크론병, 방광질 누공",비뇨의학과,32214
방광암,"긴박뇨, 하지부종, 골반 통증, 옆구리 통증, 덩어리가 만져짐, 혈뇨, 배뇨 시 통증","혈뇨, 배뇨통, 방광요관 역류","종양내과, 방사선종양학과, 비뇨의학과",30649
방광요관 역류,"빈뇨, 배뇨 시 통증","요로 감염, 신부전, 신경인성 방광","비뇨의학과, 소아신장과, 소아비뇨의학과",32210
방광의 신경근육 기능 장애,"배뇨곤란, 빈뇨, 배뇨 시 통증, 소변이 샘","과민성 방광, 신경인성 방광, 저활동성 방광",비뇨의학과,32212
방광질 누공,"질에서 소변이 나옴, 배뇨 시 통증","방광소장 누공, 방광암, 난산, 자궁경부암",비뇨의학과,32215
방광탈,"소변이 샘, 배뇨곤란, 배뇨장애","급성 방광염, 방광질 누공, 방광소장 누공, 요실금, 복압성 요실금, 폐경","비뇨의학과, 산부인과",32726
방선균증,"기침, 열, 열감, 환부 통증, 발한, 두통, 체중감소",곰팡이 감염,감염내과,31628
방실 중격 결손,"심방 부정맥, 심부전, 빈맥","승모판 기능부전, 폐성 고혈압, 다운 증후군, 심실 중격 결손, 울혈성 심부전, 선천성 심장 질환, 심방 중격 결손","소아청소년심장과, 선천성심장병센터",31638
방아쇠 수지,"손가락의 변형, 관절잡음, 손가락 운동장애, 손의 통증","건초염, 듀피트렌 구축","성형외과, 정형외과",31574
배꼽염,"악취, 배꼽의 고름 및 피, 발적",샅(서혜)육아종,"신생아과, 어린이병원",32029
배뇨통,"배뇨 시 통증, 빈뇨, 긴박뇨, 야간뇨, 배뇨장애, 잔뇨감","완전 척수 손상, 자궁경부암, 급성 방광염, 방광암, 다발성 경화증, 방광질 누공, 방광소장 누공, 방광의 신경근육 기능 장애, 방광요관 역류, 고환염, 비임균성 요도염, 임균성 요도염, 부고환염, 척수수막류",비뇨의학과,32524
배란통,"두통, 오심, 복부 통증",맹장염,산부인과,31968
백내장,"눈부심, 안구혼탁, 시력 감소, 복시","녹내장, 당뇨망막병증, 포도막염, 당뇨병",안과,31147
백반증,"하얀 반점, 모발 탈색","어린선, 모공성 각화증, 광선 각화증",피부과,31542
백일해,"구토, 기침, 콧물, 결막염","폐기종, 결막염","감염내과, 호흡기내과",31666
백혈병,"출혈 경향성, 피로감, 뼈의 통증, 체중감소, 잦은 감염, 비장비대, 간비대, 오심, 피부 긴장도 저하, 구토, 빈혈, 열","급성림프모구백혈병, 급성골수성백혈병, 백혈구 이상, 만성림프구백혈병, 만성골수백혈병","혈액내과, 방사선종양학과, 소아청소년종양혈액과",30895
버드 키아리 신드롬,"복수, 복부 통증, 간비대, 문맥성고혈압",간경화,소화기내과,31697
버킷 림프종,"빈혈, 덩어리가 만져짐, 복부 통증","헤르페스 바이러스 감염, 원발성 중추신경계 림프종, 림프종, 위말트 림프종, 비호지킨 림프종, 만성림프구백혈병, 급성림프모구백혈병, 호지킨 림프종","종양내과, 혈액내과, 소아청소년종양혈액과, 소아외과",33506
벌에 쏘였을 때,"피부소양감, 환부 통증, 환부 부종, 발진",아나필락시스,응급의학과,32322
베게너 육아종증,"근육통, 관절염",혈관염,류마티스내과,32452
베르니케 코시코프 증후군,"기억장애, 의식 변화, 혼돈, 지남력 장애, 안구진탕, 보행이상, 불안, 말초 신경장애","치매, 혈관성 치매, 불안 장애, 알코올 의존성, 우울증, 보행 운동 장애","신경과, 정신건강의학과",33727
베스트 난황형 황반부 이영양증 ,"중심시력감소, 시야장애, 사물이 찌그러져 보임",망막 박리,"의학유전학센터, 의학유전학과",32340
베이커 낭종,"관절 운동성 감소, 무릎 부위 부종, 관절의 경직, 무릎 부위 통증",반월판 연골손상,정형외과,31729
베체트 병,"무릎 부위 통증, 생식기 궤양, 구강궤양, 혈전증, 피부염증, 시력 감소, 눈의 통증, 발진, 눈부심","포도막염, 피부염, 심부정맥 색전증","소화기내과, 류마티스내과",30848
베커형 근이영양증,"하지의 근력약화, 근력 약화, 근위축","듀시엔형 근이영양증, 척수근육위축","의학유전학센터, 의학유전학과",32338
베크위트-위드만 증후군,"탈장, 귀 모양의 변형, 저혈당, 비장비대, 간비대, 발육부전","마르판 증후군, 누난 증후군, 루빈스타인 테이비 증후군, 다발성 흑자 증후군, 클리펠-트라우네이-베버 증후군, 홀트-오람 증후군, 골덴하 증후군, 판코니범혈구감소증, 연골외배엽 이형성증, 엘러스-단로스 증후군, 코넬리아드랑게 증후군, ARC 증후군, 대뇌성 거인증, 트리처 콜린스 증후군, 러셀 실버 증후군, 바르덴부르크 증후군","의학유전학센터, 소아내분비대사과, 의학유전학과",32339
변비,"잔변감, 항문 통증, 항문출혈, 복부팽만감, 복부 통증","장폐색, 치핵, 뇌하수체 기능부전, 위장관 기질 종양, 직장암, 고칼슘혈증, 대장암","소화기내과, 노년내과, 소아소화기영양과",31900
변실금,변실금,"항문암, 혈관성 치매, 회음 괴저, 치매, 뇌경색","소화기내과, 대장항문외과",31905
변형성 고관절증,"관절 운동성 감소, 보행이상, 골반 통증","골관절염, 관절염",정형외과,31715
병리적 골절,"환부 통증, 감각 이상, 근육강직, 환부 부종, 마찰음, 뼈의 변형","내연골종, 골괴사, 피로 골절, 골육종, 골다공증, 뼈의 신생물",정형외과,31722
병원 감염성 폐렴,"가슴 통증, 기침, 가래, 열, 오한, 근육통","패혈증, 폐렴, 흡인성 폐렴, 폐 농양, 지역사회성 폐렴, 폐렴간균에 의한 폐렴",호흡기내과,31743
병적 도벽,"신경과민, 우울, 충동적 도벽, 충동 조절 어려움",행동 및 충동 장애,정신건강의학과,32508
병적 방화,"흥분, 긴장",행동 및 충동 장애,정신건강의학과,31878
보툴리눔독소증,"근육마비, 복시, 안검하수, 삼키기 곤란, 장폐색, 요정체, 신경 마비, 호흡곤란, 시야장애","박테리아성 뇌수막염, 바이러스성 뇌수막염, 길랑-바레 증후군, 중증 근무력증, 소아마비",감염내과,33896
보행 운동 장애,보행이상,"뇌졸중, 치매, 비정형 파킨슨 증후군, 뇌성 마비","신경과, 재활의학과",31884
복막염,"열, 저혈압, 구토, 복부경련, 복부팽만감, 빈맥, 호흡곤란, 복부 통증","간농양, 췌장염, 십이지장 궤양, 위궤양, 급성 충수염, 급성 담낭염, 간경화",소화기내과,31913
복부 대동맥류,"복부 통증, 복부의 박동감, 복부팽만감, 쇼크, 요통","죽상경화증, 고혈압, 흉부 대동맥류","혈관외과, 심장혈관흉부외과",32110
복수,"경정맥 확장, 호흡곤란, 탈장, 소변량 감소, 전신 부종, 체중증가","간세포암, 간 전이, 간경화, 신생아 답즙정체증, 알코올성 간질환, 간염, 독성 간염, 문맥색전증, 간디스토마, 미세변화 신증후군",소화기내과,32036
복시,사물이 두개로 보임,"익상편, 수정체 탈구, 원추각막, 난시, 중증 근무력증, 당뇨병, 사시, 백내장, 뇌졸중","안과, 소아안과",32235
복압성 요실금,"복부 통증, 배뇨 시 통증, 악취, 소변이 샘, 진한 소변색, 빈뇨, 요통","전립선암, 요로 감염, 외상에 의한 척수 손상, 자궁 탈출증, 완전 척수 손상, 급성 질염",비뇨의학과,30670
복합 부위 통증 증후군,"환부 부종, 환부 통증, 근력 약화, 근육경련, 우울, 작열감, 관절 운동성 감소",섬유근육통,마취통증의학과,31733
본히펠린다우 증후군 ,"고혈압, 악성종양발생, 어지러움, 두통","갈색세포종, 윌름즈 종양, 신세포암종, 혈우병, 가족성 적혈구잠식성 림프조직구증","내분비내과, 의학유전학센터, 소아내분비대사과, 의학유전학과",32421
봉와직염,"두통, 반점, 괴사, 압통, 식욕부진, 근육통, 열, 오한, 열감, 물집, 관절염","모낭염, 간이식 후 상태, 피부의 양성 종양, 패혈증, 골수염, 관절염, 무좀, 레이노병, 패혈성 관절염","감염내과, 성형외과",31537
